Country Code,Longitude,Latitude,Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Votes,Restaurant Name len,Address len
216,-112.4413856,42.8585987,40,0,0,0,3,3.6,144,10,3
216,-112.4419,42.8774,10,0,0,0,1,4.1,365,12,3
216,-74.651139,40.352385,70,0,0,0,4,4.0,542,16,3
216,-157.948486,21.677078,25,0,0,0,2,4.5,691,23,3
216,-155.997362,19.642752,35,0,0,0,3,4.7,764,20,3
216,-156.455284,20.748838,30,0,0,0,3,4.5,487,18,3
216,-156.451847,20.731487,10,0,0,0,1,4.5,695,11,3
216,-156.4309473,20.6883746,40,0,0,0,3,4.2,485,29,4
216,-156.452556,20.733554,40,0,0,0,3,4.2,807,37,3
216,-156.674835,20.885226,10,0,0,0,1,4.6,723,11,3
216,-156.684967,20.886564,10,0,0,0,1,4.2,874,17,3
216,-156.667037,20.992316,25,0,0,0,2,4.4,552,6,3
216,-156.693821,20.921347,40,0,0,0,3,4.3,1056,10,3
216,-156.680666,20.876127,40,0,0,0,3,4.3,707,6,3
216,-156.366445,20.929622,70,0,0,0,4,4.9,1343,17,3
216,-157.825979,21.279476,10,0,0,0,1,4.9,602,13,3
216,-157.8312476,21.2794952,40,0,0,0,3,4.6,1078,10,3
216,-157.822716,21.271826,25,0,0,0,2,3.9,232,14,3
216,-157.827196,21.277583,70,0,0,0,4,4.4,1492,14,3
216,-157.831538,21.280663,10,0,0,0,1,4.0,535,14,3
216,-157.831176,21.279154,70,0,0,0,4,4.2,531,5,3
216,-157.836031,21.285396,25,0,0,0,2,4.2,694,20,3
216,-81.0954,32.0804,40,0,0,0,3,3.3,1201,15,3
216,-81.096647,32.052858,40,0,0,0,3,4.7,906,15,3
216,-81.0894,32.0785,10,0,0,0,1,4.6,880,19,3
216,-81.0955,32.0727,40,0,0,0,3,4.5,1014,24,3
216,-81.0911,32.0775,25,0,0,0,2,4.5,796,7,3
216,-81.0916,32.0809,25,0,0,0,2,3.7,747,26,3
216,-81.0844,32.0782,40,0,0,0,3,3.8,566,25,3
216,-81.0875,32.0798,25,0,0,0,2,4.1,683,19,3
216,-81.0979,32.0735,25,0,0,0,2,4.4,690,19,3
216,-81.0941,32.0801,10,0,0,0,1,4.2,680,30,3
216,-81.0905213,32.0794767,10,0,0,0,1,4.1,287,7,3
